Title,Author,url,download,ID,Fandom Tags,Relationship Tags,Character Tags,Additional Tags,Status,Chapter Count,Current Chapter,Summary,Completed,Category_ID
Roses Never Fall,justabitwayward,https://archiveofourown.org/works/28616283,https://archiveofourown.org/downloads/28616283/title.epub,AO3W_28616283,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Shinsou Hitoshi', 'Midoriya Izuku/Todoroki Shouto', 'Kaminari Denki/Shinsou Hitoshi', 'Class 1-A & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'as QPR', 'also as QPR']","['Shinsou Hitoshi', 'Midoriya Izuku', 'Midoriya Inko', 'Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Eri (My Hero Academia)', 'Ms Joke']","['Fluff', 'Found Family', 'Fluff and Angst', 'Class 1-A as Family (My Hero Academia)', 'Class 1-A Shenanigans (My Hero Academia)', 'Shinsou Hitoshi Replaces Mineta Minoru', 'Midoriya Izuku Has a Quirk', 'BAMF Midoriya Izuku', 'Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead Adopts Eri', 'Asexual Shinsou Hitoshi', 'Queerplatonic Relationships', 'tododeku as a qpr', 'Midoriya Izuku & Shinsou Hitoshi are Best Friends', 'Domestic Fluff', 'Angst']",Completed,7,1,"PART ONE OF THREE Hitoshi Shinsou meets Izuku Midoriya in a graveyard. Why is he there? And what friends does he keep talking about? In which Shinsou and Midoriya bond over ""villainous"" quirks, attend UA together, and try to figure out their place in all of this",True,3
Void,PunsAndCookies,https://archiveofourown.org/works/26892874,https://archiveofourown.org/downloads/26892874/title.epub,AO3W_26892874,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Everyone', 'Minor or Background Relationship(s)']","['Midoriya Izuku', 'Akaguro Chizome | Stain', 'Shinsou Hitoshi', 'Hatsume Mei', 'Todoroki Shouto', 'Aizawa Shouta | Eraserhead', 'Yaoyorozu Momo', 'Komori Kinoko', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Kaminari Denki', 'Tsukauchi Naomasa', 'Eri (My Hero Academia)', 'Uraraka Ochako', 'Kuroiro Shihai', 'Jirou Kyouka', 'Shigaraki Tomura | Shimura Tenko', 'Kurogiri (My Hero Academia)', 'Sensei | All For One', 'Yanagi Reiko', 'Shouji Mezou', 'Tokage Setsuna', 'Dabi (My Hero Academia)', 'Hikiishi Kenji | Magne', 'Bubaigawara Jin | Twice', 'Sako Atsuhiro | Mr. Compress', 'Okuta Kagerou | Giran', 'Hagakure Tooru', 'Kamakiri Togaru', 'Sero Hanta', 'Tokoyami Fumikage', 'Amajiki Tamaki', 'Aoyama Yuuga']","['Vigilantism', 'These Children will rule the world', ""I have no idea what I'm doing"", 'dad for one', 'Izuku goes around and collects friends and parents', 'Quirkless Midoriya Izuku', 'Vigilante Midoriya Izuku', 'Vigilante all other people', ""What's the law?"", 'League of villains adopts children on accident', ""i'll update the tags as the story goes on"", 'There will be manga spoilers', 'not sure when but they will be there', 'BAMF Midoriya Izuku', 'Found Family', 'Dadzawa', 'Vigilante Class 1-A (My Hero Academia)', 'Vigilante Class 1-B']",Updated,56,1,"People have called Izuku worthless all his life, just because of a little genetics. One day, with a little help, he decides he won't take that anymore. He gathers a group of people who want to change the way things are. They come from all over town, with all kinds of dreams. But they all want to change things. A group of vigilantes rises up, that helps where it can. What the world doesn't know is that these law-breakers are not just some street rats. They are heroes, and they will take UA by storm. (The fic where the kids of 1A and 1B meet before, and add a little vigilantism to their resume.)",False,2
I'm With You ('til the end of the line),konan_konan,https://archiveofourown.org/works/22930957,https://archiveofourown.org/downloads/22930957/title.epub,AO3W_22930957,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Eri & Midoriya Izuku', 'Eri & Toogata Mirio', 'Aizawa Shouta | Eraserhead & Eri', 'Eri & Yagi Toshinori | All Might', 'Eri & Yamada Hizashi | Present Mic', 'Midoriya Izuku & Toogata Mirio', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Class 1-A & Midoriya Izuku', 'Class 1-A & Eri (My Hero Academia)']","['Eri (My Hero Academia)', 'Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Midoriya Inko (mentioned)', 'Chisaki Kai | Overhaul']","['Dead Midoriya Inko', 'Aizawa Shouta | Eraserhead Adopts Eri', 'Aizawa Shouta | Eraserhead Adopts Midoriya Izuku', 'Parental Aizawa Shouta | Eraserhead', 'Parental Yagi Toshinori | All Might', 'Parental Yamada Hizashi | Present Mic', 'Protective Class 1-A (My Hero Academia)', 'Protective Midoriya Izuku', 'Protective Eri', 'Midoriya Izuku Has a Quirk', 'Midoriya Izuku Does Not Have One for All Quirk', 'Midoriya Izuku and Eri Are Siblings', 'sort of....', 'Asexual Character', 'LGBTQ Themes', 'Team as Family', 'Found Family', 'Asexual Eri (My Hero Academia)', 'Canon-Typical Violence', 'Alternate Universe', 'Alternate Universe - Canon Divergence', 'Overhaul Arc (My Hero Academia)', ""Chisaki Kai | Overhaul's Bad Parenting"", 'Fluff and Angst', 'Angst and Hurt/Comfort', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Good Parent Aizawa Shouta | Eraserhead', 'Other Additional Tags to Be Added']",Updated,7,1,"Eri was deeply conflicted. Izuku wished he had stayed quirkless. But none of that matters now. They're both safe. Right? (AU where Izuku has the opposite of Eri's quirk, and is also experimented on by Chisaki after he accidentally ages Inko to death (oops). Features some changes to canon, and some dadzawa shenanigans. I'm not sure where this fic is going yet, or how long it'll be, and I can almost guarantee I won't update very often, but I'll try my best to have some fun with this.)",False,2
The Perfect Son,tiredauthor,https://archiveofourown.org/works/23229166,https://archiveofourown.org/downloads/23229166/title.epub,AO3W_23229166,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Todoroki Shouto', 'Bakugou Katsuki/Todoroki Shouto', 'Class 1-A & Midoriya Izuku', 'Midoriya Izuku & Everyone']","['Midoriya Izuku', 'Midoriya Hisashi', 'Todoroki Shouto', 'Bakugou Katsuki', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Sensei | All For One', 'League of Villains (My Hero Academia)', 'Class 1-A (My Hero Academia)', 'Class 1-C (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Toogata Mirio', 'Sasaki Mirai | Sir Nighteye', 'Shigaraki Tomura | Shimura Tenko']","['Midoriya Izuku Has a Quirk', 'Midoriya Izuku Does Not Have One for All Quirk', 'Midoriya Izuku Needs A Hug', ""Midoriya Hisashi's Bad Parenting"", 'Abusive Midoriya Hisashi', 'Dead Midoriya Inko', 'Protective Class 1-A (My Hero Academia)', 'Protective Bakugou Katsuki', 'Protective Todoroki Shouto', 'Bakugou Katsuki Swears A Lot', 'Bakugou Katsuki is Bad at Feelings', 'Todoroki Shouto is Bad at Feelings', 'Hurt Midoriya Izuku', 'Emotional Hurt/Comfort', 'Hurt No Comfort', 'Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Parental Aizawa Shouta | Eraserhead', 'Established Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Protective Aizawa Shouta | Eraserhead', 'Aizawa Shouta | Eraserhead Adopts Midoriya Izuku', 'Sad Midoriya Izuku', 'Angst with a Happy Ending', 'Midoriya Izuku is Bad at Feelings', 'no beta we die like men', 'Izuku is trying his best okay', 'Everyone Loves Midoriya Izuku', 'Emotional/Psychological Abuse', 'Physical Abuse', 'Human Experimentation']",Updated,5,1,"Midoriya Izuku only strives to be the perfect son for his father, Midoriya Hisashi. So imagine the disappointment written on his face when they discover he's quirkless. With that, his father subjects him to countless amounts of experiments for him to be the perfect son. It isn't only until 5 years into getting experimented is he saved by pro heroes. or After getting tortured, Midoriya Izuku learns once more what it means to be a proper teenager in society with the help of the UA staff and Class 1A. (Contains Violence, Abuse, and Heavy Topics read at your own risk <3)",False,2
i bite my tongue until it bleeds & let it silence me (they never even make a sound),ezrawrites,https://archiveofourown.org/works/28709787,https://archiveofourown.org/downloads/28709787/title.epub,AO3W_28709787,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Uraraka Ochako', 'Kirishima Eijirou & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Uraraka Ochako', 'Kirishima Eijirou', 'Bakugou Katsuki', 'Background & Cameo Characters']","['Midoriya Izuku Whump', 'Midoriya Izuku Needs A Hug', 'Depressed Midoriya Izuku', 'Midoriya Izuku Has Panic Attacks', 'Midoriya Izuku Has Trust Issues', 'Suicidal Thoughts', 'Midoriya Izuku Has Self-Esteem Issues', 'Quirkless Discrimination (My Hero Academia)', 'Midoriya Izuku Has Chronic Pain', 'cause he broke his hands 10000 times drinking that bone breakin juice', 'Self-Harm', 'Midoriya Izuku is Self-Destructive', 'midoriya: sees self care. midoriya: no thank you', '5+1 Things', 'Angst', 'Emotional Hurt/Comfort', 'Midoriya Izuku Has One for All Quirk', 'Bakugou Katsuki & Midoriya Izuku are Not Friends', 'Implied/Referenced Character Death', 'Suicide Attempt', 'Suicide Notes', 'Hopeful Ending']",Completed,3,1,"Midoriya Izuku is used to hiding his hurts. The people around him aren't used to looking. -- Or, five times everyone missed Midoriya self-destructing, and one time they caught it.",True,1
Yesterday Upon The Stair,PitViperOfDoom,https://archiveofourown.org/works/8337607,https://archiveofourown.org/downloads/8337607/title.epub,AO3W_8337607,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Uraraka Ochako', 'Iida Tenya & Midoriya Izuku', 'Sir Nighteye & Yagi Toshinori | All Might', 'Midoriya Izuku & Toogata Mirio']","['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Shimura Nana', 'Bakugou Katsuki', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Iida Tensei | Ingenium', 'Eri (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Sir Nighteye (My Hero Academia)', 'Toogata Mirio']","['Alternate Universe - Canon Divergence', 'BAMF Midoriya Izuku', 'Parental Yagi Toshinori | All Might', 'The Sixth Sense AU', 'Bakugou Katsuki Swears A Lot', 'Izuku Sees Dead People', 'Queerplatonic Relationships', 'Midoriya Izuku Has a Quirk', 'Platonic Slow Burn', 'platonic tododeku', 'Panic Attacks', 'Past Trauma', 'Body Horror', 'Character Death', 'Temporary Character Death', 'Implied/Referenced Child Abuse', ""Todoroki Enji | Endeavor's Bad Parenting"", 'CONTENT WARNINGS CAN BE FOUND IN CHAPTER ENDNOTES', 'Unsympathetic Bakugou Katsuki']",Completed,60,1,"Midoriya Izuku has always been written off as weird. As if it's not bad enough to be the quirkless weakling, he has to be the weird quirkless weakling on top of it. But truthfully, the ""weird"" part is the only part that's accurate. He's determined not to be a weakling, and in spite of what it says on paper, he's not actually quirkless. Even before meeting All-Might and taking on the power of One For All, Izuku isn't quirkless. Not that anyone would believe it if he told them. (This story now has a TV Tropes page !)",True,3
Paradoxical Alternative,ThatPersonWhoExists,https://archiveofourown.org/works/12196521,https://archiveofourown.org/downloads/12196521/title.epub,AO3W_12196521,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Bakugou Katsuki & Midoriya Izuku'],"['Midoriya Izuku', 'Bakugou Katsuki']","['No Romance', 'Friendship', ""Izuku Isn't Bullied By Katsuki"", 'Bakugou Katsuki Swears A Lot', 'Adorable Midoriya Izuku', 'Cute Midoriya Izuku', 'Angry Bakugou Katsuki', 'Partially Canon']",Updated,7,1,"❛❛Izuku was dead in this universe. Or at least to everyone in his surroundings, to Katsuki Bakugou, Izuku Midoriya was well-- however he couldn't quite say alive as the boy really wasn't.❜❜ Ghost!Deku AU.",False,2
"Beyond Plus Ultra, Beyond All Might",Botts_for_Tootsie,https://archiveofourown.org/works/24219580,https://archiveofourown.org/downloads/24219580/title.epub,AO3W_24219580,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Midoriya Izuku & Shimura Nana', 'Midoriya Izuku & Shinsou Hitoshi', 'Class 1-A & Midoriya Izuku']","['Shimura Nana', 'Yagi Toshinori | All Might', 'Midoriya Izuku', 'Bakugou Katsuki', 'Midoriya Inko', 'Shinsou Hitoshi', 'Uraraka Ochako', 'Iida Tenya', 'Todoroki Shouto', 'Class 1-A (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko']","['Other Additional Tags to Be Added', 'Midoriya Izuku Has a Quirk', 'Suicide Attempt', 'Midoriya Izuku Needs A Hug', 'Protective Shimura Nana', 'Yagi Toshinori | All Might Being an Asshole', 'Yagi Toshinori | All Might is Bad at Feelings', 'Bullying', 'Parental Shimura Nana', 'Major character death - Freeform', 'But he comes back', 'I promise', 'Canon-Typical Violence', 'Repetitive Child Death', 'Abusive Relationships', 'Angst', 'Minor Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Protective Shinsou Hitoshi', 'Let Midoriya Say Fuck', 'Graphic Description', 'Blood and Injury', 'Blood and Violence', 'It Gets Worse', 'Quirk Discrimination (My Hero Academia)', 'Not the normal Dekusquad', 'Boku no Hero Academia | My Hero Academia Manga Spoilers', 'Sports Festival Arc (My Hero Academia)', 'Implied/Referenced Child Abuse']",Updated,45,1,"Useless, Quirkless, Deku. That's been his name for so long. But it can't possibly be true. Izuku was supposed to be the greatest hero in the world! Izuku didn't need Bakugou's approval. He just needed to ask All Might. His idol would tell him everything would be okay! Just keep smiling! Don't meet your heroes...They'll only disappoint you. Shimura Nana can't stand to sit and watch as a young boy, much like her successor Toshinori, is told he can't be a hero because he's quirkless. Ghost be damned, she'll succeed where her successor failed.",False,2
Fuck Bullies,RandomWeirdCat,https://archiveofourown.org/works/26256601,https://archiveofourown.org/downloads/26256601/title.epub,AO3W_26256601,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['League of Villains & Midoriya Izuku', 'League of Villains & Shinsou Hitoshi', 'Midoriya Izuku/Shinsou Hitoshi', 'Midoriya Izuku & Shinsou Hitoshi', 'Bakugou Katsuki & Class 1-A', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Midoriya Izuku & Sensei | All For One', 'Dabi/Shigaraki Tomura | Shimura Tenko', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Bakugou Katsuki/Consequences of his fucking actions']","['Midoriya Izuku', 'Shinsou Hitoshi', 'League of Villains (My Hero Academia)', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Midoriya Inko', 'Bakugou Katsuki', 'Class 1-A (My Hero Academia)', 'U.A. Faculty (My Hero Academia)']","['Midoriya Izuku is a Ray of Sunshine', 'Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi', 'Parental Aizawa Shouta | Eraserhead', 'Character Bashing', 'Bakugou Katsuki Bashing', 'anti-Kacchan', 'League of Villains as Family (My Hero Academia)', 'Protective Shinsou Hitoshi', 'Midoriya Izuku Needs A Hug', 'Suicidal Midoriya Izuku', 'Bullying', 'Suicide Attempt', 'Triggers', 'Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Bad Parent Midoriya Inko', 'Worried Midoriya Inko', 'Shinsou Hitoshi Replaces Mineta Minoru', ""Alternate Universe - Mineta Minoru Doesn't Exist"", 'Protective Sensei | All For One', 'Cursing there’s quite a lot of cursing', 'Kidnapping', 'Dad For One Contest', 'Good Parent Sensei | All For One', 'All for one is going to fuck everyone up', 'Izuku has so many dads and moms in this', 'All the parents - Freeform', 'This is a cult so welcome if you continue to read on', 'This fic is just a giant cult', 'Neglectful Midoriya Inko', ""Midoriya Inko's Bad Parenting"", 'Bad parenting everywhere']",Updated,42,1,"When the league of Villains kidnap Shinso Hitoshi and Midorya Izuku, quite a few things come out on accident.",False,2
Accidental Attachment,The_Fanfiction_Alchemist,https://archiveofourown.org/works/17162489,https://archiveofourown.org/downloads/17162489/title.epub,AO3W_17162489,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Midoriya Inko', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic']","['Aizawa Shouta | Eraserhead', 'Midoriya Izuku', 'Midoriya Inko', 'Yamada Hizashi | Present Mic', 'Midoriya Hisashi']","['Parental Aizawa Shouta | Eraserhead', 'Implied/Referenced Child Abuse', 'Implied/Referenced Domestic Violence', 'Fluff and Hurt/Comfort', 'Abusive Relationships', 'Cute Midoriya Izuku', 'babysitter Aizawa Shouta', 'Everyone Needs a Hug', 'Alternate Universe - Neighbors']",Updated,1,1,"Aizawa doesn't make a habit out of interacting with his neighbors. In fact, he actively goes out of his way to avoid it at all costs. But something about the Midoriya's makes him break his old habits and open up a little more to them. Update: First chapter has been edited and minor additional content has been added.",False,2
